Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"22 May 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;122,80;122,80;119,20;120,00;"21/05/2025 16:26";CET;49228;'5909690,50;120,00;21/05/2025
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6,67;6,75;6,67;6,69;"21/05/2025 16:25";CET;267859;'1581070,07;6,69;21/05/2025
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;10,30;10,30;9,96;9,96;"21/05/2025 15:05";CET;18653;'186430,94;9,96;21/05/2025
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;152,00;152,00;149,80;151,00;"21/05/2025 16:25";CET;92746;'14035368,00;151,00;21/05/2025
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;26,85;27,50;26,55;27,50;"21/05/2025 16:25";CET;24964;'670370,50;27,50;21/05/2025
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;1,18;1,18;1,14;1,17;"21/05/2025 16:25";CET;23978;27923,90;1,17;21/05/2025
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;12,16;12,34;12,10;12,10;"21/05/2025 16:25";CET;39973;'485892,78;12,10;21/05/2025
AKER;NO0010234552;AKER;"Oslo Børs";NOK;601,00;603,00;597,00;601,00;"21/05/2025 16:25";CET;20556;'12341309,00;601,00;21/05/2025
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;60,10;61,90;60,10;60,70;"21/05/2025 16:25";CET;32188;'1958194,40;60,70;21/05/2025
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;239,00;240,50;235,00;237,20;"21/05/2025 16:29";CET;1116269;'267194480,30;237,20;21/05/2025
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;2,888;2,896;2,888;2,892;"21/05/2025 16:25";CET;2480329;'7169268,41;2,892;21/05/2025
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;1,36;1,366;1,35;1,362;"21/05/2025 16:25";CET;3234662;'4400586,05;1,362;21/05/2025
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;33,24;33,40;32,76;33,04;"21/05/2025 16:25";CET;603388;'19935190,72;33,04;21/05/2025
